,Country,Death,Confirmed,Recovered,Date,DeathAccumulated,ConfirmedAccumulated,RecoveredAccumulated,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,LOCATION,Year,Total population,Acute_myocardial_infarction,Asthma,Chronic_obstructive_Pulmonary_diseases,Diabetes_mellitus,Diseases_of_the_respiratory_system,Influenza,Ischaemic_heart_diseases,Pneumonia,Population__65_years_old_and_over,Population__80_years_old_and_over,Air_pollution,Rooms_per_person,Number of people per household,Single person households,Population__65_to_80_years_old,retail_and_recreation_percent_change_from_baseline_Lag_23,grocery_and_pharmacy_percent_change_from_baseline_Lag_23,parks_percent_change_from_baseline_Lag_23,transit_stations_percent_change_from_baseline_Lag_23,workplaces_percent_change_from_baseline_Lag_23,residential_percent_change_from_baseline_Lag_23,Confirmed_Lag_14,TimeSince1stDeath,DeathNotNormalized,ConfirmedNotNormalized,RecoveredNotNormalized
0,Denmark,0.017610755804329005,0.5635441857385282,0.0,2020-03-14,1,836,1,-30.166666666666668,-8.166666666666666,90.0,-35.166666666666664,-15.5,7.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,0.3333333333333333,-1.3333333333333333,-6.833333333333333,-3.8333333333333335,-4.0,1.6666666666666667,2.0,0.0,1.0,32.0,0.0
1,Denmark,0.017610755804329005,0.6868194763688312,0.0,2020-03-15,2,875,1,-32.5,-23.0,-8.666666666666666,-50.0,-22.333333333333332,8.0,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,0.5,0.0,14.166666666666666,-3.1666666666666665,-4.833333333333333,1.3333333333333333,1.0,1.0,1.0,39.0,0.0
2,Denmark,0.017610755804329005,1.0214238366510822,0.0,2020-03-16,3,933,1,-22.833333333333332,-13.166666666666666,56.166666666666664,-51.0,-49.333333333333336,16.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-6.666666666666667,-2.8333333333333335,-23.666666666666668,-5.333333333333333,-3.0,0.8333333333333334,0.0,2.0,1.0,58.0,0.0
3,Denmark,0.017610755804329005,1.6201895339982686,0.0,2020-03-17,4,1025,1,-24.166666666666668,-4.0,39.833333333333336,-53.833333333333336,-51.0,17.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,0.6666666666666666,-1.1666666666666667,-9.666666666666666,0.16666666666666666,-0.16666666666666666,0.0,2.0,3.0,1.0,92.0,0.0
4,Denmark,0.03522151160865801,1.9195723826718616,0.0,2020-03-19,6,1225,1,-37.833333333333336,-19.666666666666668,100.0,-56.5,-54.166666666666664,19.166666666666668,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-3.1666666666666665,-2.5,-3.6666666666666665,0.3333333333333333,2.6666666666666665,0.8333333333333334,0.0,4.0,2.0,109.0,0.0
5,Denmark,0.052832267412987015,1.9724046500848487,0.0,2020-03-20,9,1337,1,-42.0,-22.166666666666668,71.16666666666667,-61.5,-54.666666666666664,20.333333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-1.5,-2.0,0.5,-0.3333333333333333,2.8333333333333335,0.8333333333333334,13.0,5.0,3.0,112.0,0.0
6,Denmark,0.07044302321731602,1.4616927317593076,0.0,2020-03-21,13,1420,1,-46.0,-20.0,95.66666666666667,-52.166666666666664,-26.5,10.833333333333334,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,2.1666666666666665,1.1666666666666667,17.166666666666668,2.8333333333333335,2.6666666666666665,0.16666666666666666,0.0,6.0,4.0,83.0,0.0
7,Denmark,0.1937183138476191,1.0214238366510822,0.0,2020-03-23,24,1572,1,-33.833333333333336,-19.666666666666668,61.333333333333336,-58.833333333333336,-54.0,18.333333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,10.5,-3.1666666666666665,-18.0,5.666666666666667,0.16666666666666666,-0.16666666666666666,55.0,7.0,11.0,58.0,0.0
8,Denmark,0.14088604643463204,2.571170347432035,0.6163764531515152,2020-03-24,32,1718,36,-35.0,-18.0,64.83333333333333,-58.5,-54.333333333333336,18.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,20.166666666666668,-6.5,-8.833333333333334,5.0,0.5,-0.3333333333333333,172.0,8.0,8.0,146.0,35.0
9,Denmark,0.03522151160865801,2.5359488358233766,0.08805377902164503,2020-03-25,34,1862,41,-34.666666666666664,-17.666666666666668,69.83333333333333,-57.833333333333336,-53.666666666666664,18.833333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,11.833333333333334,-4.666666666666667,28.5,1.8333333333333333,2.0,0.0,180.0,9.0,2.0,144.0,5.0
10,Denmark,0.12327529063030304,2.83533168449697,0.15849680223896104,2020-03-26,41,2023,50,-34.333333333333336,-16.166666666666668,92.33333333333333,-57.333333333333336,-53.666666666666664,18.833333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,10.0,-4.666666666666667,9.0,-0.3333333333333333,2.1666666666666665,0.0,173.0,10.0,7.0,161.0,9.0
11,Denmark,0.1937183138476191,3.1171037773662342,0.12327529063030304,2020-03-27,52,2200,57,-37.0,-17.5,104.0,-59.833333333333336,-54.0,18.833333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,10.333333333333334,-4.833333333333333,17.0,1.1666666666666667,2.0,0.3333333333333333,187.0,11.0,11.0,177.0,7.0
12,Denmark,0.22893982545627706,2.923385463518615,0.0,2020-03-28,65,2366,57,-40.833333333333336,-13.166666666666666,87.33333333333333,-53.5,-27.0,10.166666666666666,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,11.166666666666666,-2.6666666666666665,26.5,1.3333333333333333,1.8333333333333333,0.0,32.0,12.0,13.0,166.0,0.0
13,Denmark,0.12327529063030304,3.4869296492571427,0.2817720928692641,2020-03-29,72,2564,73,-35.166666666666664,-20.666666666666668,38.0,-58.333333333333336,-27.666666666666668,8.833333333333334,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,7.333333333333333,-3.3333333333333335,11.166666666666666,0.16666666666666666,1.1666666666666667,0.3333333333333333,39.0,13.0,7.0,198.0,16.0
14,Denmark,0.08805377902164503,3.36365435862684,0.0,2020-03-30,77,2755,73,-31.0,-17.666666666666668,58.666666666666664,-57.666666666666664,-53.0,17.833333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,10.833333333333334,-1.3333333333333333,48.333333333333336,8.333333333333334,0.6666666666666666,-0.6666666666666666,58.0,14.0,5.0,191.0,0.0
15,Denmark,0.22893982545627706,5.001454648429437,0.07044302321731602,2020-03-31,90,3039,77,-20.833333333333332,-3.1666666666666665,72.66666666666667,-52.333333333333336,-52.333333333333336,16.833333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,10.166666666666666,-7.333333333333333,-12.833333333333334,0.16666666666666666,-2.0,0.16666666666666666,92.0,15.0,13.0,284.0,4.0
16,Denmark,0.24655058126060608,4.42029970688658,15.744015689070132,2020-04-01,104,3290,971,-29.166666666666668,-11.333333333333334,16.333333333333332,-56.333333333333336,-52.666666666666664,18.166666666666668,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,6.0,-5.166666666666667,17.166666666666668,-1.6666666666666667,0.6666666666666666,1.1666666666666667,91.0,16.0,14.0,251.0,894.0
17,Denmark,0.3346043602822511,4.983843892625108,3.53976191667013,2020-04-02,123,3573,1172,-31.833333333333332,-12.666666666666666,11.5,-59.5,-53.5,19.166666666666668,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,3.3333333333333335,-3.5,-5.0,-6.5,0.16666666666666666,1.8333333333333333,109.0,17.0,19.0,283.0,201.0
18,Denmark,0.2817720928692641,6.568811915014718,2.0252369174978355,2020-04-03,139,3946,1287,-32.833333333333336,-10.0,38.0,-59.0,-53.333333333333336,18.666666666666668,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,6.333333333333333,5.0,23.166666666666668,-9.5,-1.0,2.0,112.0,18.0,16.0,373.0,115.0
19,Denmark,0.3874366276952382,5.688274124798268,1.6201895339982686,2020-04-04,161,4269,1379,-35.833333333333336,-7.666666666666667,65.5,-50.0,-23.666666666666668,9.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-9.166666666666666,23.166666666666668,-17.666666666666668,-36.166666666666664,-27.166666666666668,11.5,83.0,19.0,22.0,323.0,92.0
